English;Latin;Français;Español;Portugues
Transpyloric plane;Planum transpyloricum;Plan transpylorique;Plano transpilórico;Plano transpilórico
Subcostal plane;Planum subcostale;Plan subcostal;Plano subcostal;Plano subcostal
Transumbilical plane;Planum transumbilicalis;Plan transombillical;Plano transumbilical;Plano transumbilical
Supracristal plane;Planum supracristale;Plan de la crête iliaque;Plano supracrestal;Plano supracristal
Intertubercular plane;Planum intertuberculare;Plan intertuberculaire;Plano intertubercular;Plano intertubercular
Interspinous plane;Planum interspinale;Plan interépineux;Plano interespinoso;Plano interespinhoso
Reference lines;Lineae referentiae;Lignes de référence;Líneas de referencia;Linhas de referência
Anterior median line;Linea mediana anterior;Ligne antérieure médiane;Línea mediana anterior;Linha mediana anterior
Sternal line;Linea sternalis;Ligne sternale;Línea esternal;Linha esternal
Parasternal line;Linea parasternalis;Ligne parasternale;Línea paraesternal;Linha paraesternal
Midclavicular line;Linea medioclavicularis;Ligne médioclaviculaire;Línea medioclavicular;Linha hemiclavicular
Mamillary line;Linea mamillaris;Ligne mamelonnaire;Línea mamilar;Linha mamilar
Anterior axillary line;Linea axillaris anterior;Ligne axillaire antérieure;Línea axilar anterior;Linha axilar anterior
Midaxillary line;Linea axillaris media;Ligne axillaire moyenne;Línea axilar media;Linha axilar média
Posterior axillary line;Linea axillaris posterior;Ligne axillaire postérieure;Línea axilar posterior;Linha axilar posterior
Scapular line;Linea scapularis;Ligne scapulaire;Línea escapular;Linha escapular
Paravertebral line;Linea paravertebralis;Ligne paravertébrale;Línea paravertebral;Linha paravertebral
Posterior median line;Linea mediana posterior;Ligne postérieure médiane;Línea mediana posterior;Linha mediana posterior
Human body positions;Positiones corporis humani;Positions du corps humain;Posiciones del cuerpo humano;Posições do corpo humano
Anatomical position;Positio anatomica;Position anatomique;Posición anatomica;Posição anatômica
Comparative anatomical position;Positio anatomica comparativa;Position anatomique comparative;Posición anatómica comparativa;Posição anatômica comparativa
Prone position;Positio prona;Position ventrale;Posición prona;Posição prona
Supine position;Positio supina;Position dorsale;Posición supina;Posição supina
Movements;Motus;Mouvements;Movimientos;Movimentos
Abduction;Abductio;Abduction;Abducción;Abdução
Adduction;Adductio;Adduction;Aducción;Adução
Lateral rotation;Rotatio lateralis;Rotation latérale;Rotación lateral;Rotação externa
Medial rotation;Rotatio medialis;Rotation interne;Rotación medial;Rotação interna
Circumduction;Circumductio;Circumduction;Circunducción;Circundução
Flexion;Flexio;Flexion;Flexión;Flexão
Extension;Extensio;Extension;Extensión;Extensão
Pronation;Pronatio;Pronation;Pronación;Pronação
Supination;Supinatio;Supination;Supinación;Supinação
Opposition;Oppositio;Opposition;Oposición;Oposição
Reposition;Repositio;Reposition;Reposición;Reposição
Plantar flexion;Plantiflexio;Flexion plantaire;Plantiflexión;Flexão plantar
Dorsiflexion;Dorsiflexio;Flexion dorsale;Dorsiflexión;Dorsiflexão
Elevation;Elevatio;Elévation;Elevación;Elevação
Depression;Depressio;Abaissement;Depresión;Depressão
Eversion;Eversio;Eversion;Eversión;Eversão
Inversion;Inversio;Inversion;Inversión;Inversão
Protraction;Protractio;Protraction;Protracción;Protração
Retraction;Retractio;Rétraction;Retracción;Retração
Human body;Corpus humanum;Corps humain;Cuerpo humano;Corpo humano
Parts of human body;Partes corporis humani;Parties du corps humain;Partes del cuerpo humano;Partes do corpo humano
Head;Caput;Tête;Cabeza;Cabeça
Neurocranial part of head;Pars neurocranialis capitis;Neurocrâne de la tête;Parte neurocraneal de la cabeza;Parte neurocraniana da cabeça
Cranial cavity;Cavitas cranii;Cavité crânienne;Cavidad craneal;Cavidade craniana
Forehead;Frons;Front;Frente;Testa
Occiput;Occiput;Occiput;Occipucio;Occipício
Temple;Tempus;Tempe;Sien;Têmpora
Auricle;Auricula;Pavillon auriculaire;Oreja;Aurícula
Lobule of auricle;Lobulus auriculae;Lobe de l'oreille;Lóbulo de la oreja;Lóbulo da orelha
Helix;Helix;Hélix;Hélix;Hélice
Crus of helix;Crus helicis;Racine de l'hélix;Raíz da Hélix;Cruz da hélice
Antihelix;Antihelix;Anthélix;Antihélix;Antélice
Crura of antihelix;Crura antihelicis;Queue de l'anthélix;Cola de la antihélix;Cauda da antélice
Antitragus;Antitragus;Antitragus;Antitrago;Antitragus
Tragus;Tragus;Tragus;Trago;Trágus
Face;Facies;Face;Cara;Cara
Eye (part of head);Oculus (part of head);Oeil (partie de la tête);Ojo (parte de la cabeza);Olho (parte da cabeça)
Upper eyelid;Palpebra superior;Paupière supérieure;Párpado superior;Pálpebra superior
Lower eyelid;Palpebra inferior;Paupière inférieure;Párpado inferior;Pálpebra inferior
Cheek;Bucca;Joue;Buca;Bochecha
External nose;Nasus externus;Nez externe;Nariz externa;Nariz externo
Ala of nose;Ala nasi;Aile du nez;Ala de la nariz;Asa do nariz
Mouth;Stoma;Bouche;Boca;Boca
Upper lip;Labium superius oris;Lèvre supérieure;Labio superior;Lábio superior
Lower lip;Labium inferius oris;Lèvre inférieure;Labio inferior;Lábio inferior
Chin;Mentum;Menton;Mentón;Queixo
Neck;Collum;Cou;Cuello;Pescoço
Trunk;Truncus;Tronc;Tronco;Tronco
Thorax;Thorax;Thorax;Tórax;Tórax
Thoracic cavity;Cavitas thoracis;Cavité thoracique;Cavidad torácica;Cavidade torácica
Abdomen;Abdomen;Abdomen;Abdomen;Abdômen
Abdominal cavity;Cavitas abdominis;Cavité abdominale;Cavidad abdominal;Cavidade abdominal
Pelvis;Pelvis;Pelvis;Pelvis;Pélvis
Pelvic cavity;Cavitas pelvis;Cavité pelvienne;Cavidad pélvica;Cavidade pélvica
Perineum;Perineum;Périnée;Perineo;Períneo
Anterior trunk;Pars anterior trunci;Tronc antérieur;Tronco anterior;Tronco anterior
Anterolateral thoracic wall;Paries anterolateralis thoracis;Paroi thoracique antérolatérale;Pared torácica anterolateral;Parede torácica ântero-lateral
Anterolateral abdominal wall;Paries anterolateralis abdominis;Paroi abdominale antérolatérale;Pared abdominal anterolateral;Parede abdominal ântero-lateral
Back;Dorsum;Dos;Dorso;Dorso
Back of thorax;Dorsum thoracis;Arrière du thorax;Parte posterior del tórax;Parte posterior do tórax
Back of abdomen;Dorsum abdominis;Arrière de l'abdomen;Parte posterior del abdomen;Parte posterior do abdômen
Upper limb;Membrum superius;Membre supérieur;Miembro superior;Membro superior
Shoulder;Omos;Epaule;Hombro;Ombro
Axilla;Axilla;Aisselle;Axila;Axila
Anterior axillary fold;Plica axillaris anterior;Pli axillaire antérieur;Pliegue axilar anterior;Dobra axilar anterior
Posterior axillary fold;Plica axillaris posterior;Pli axillaire postérieur;Pliegue axilar posterior;Dobra axilar posterior
Free part of upper limb;Pars libera membri superioris;Partie libre du membre supérieur;Parte libre del miembro superior;Parte livre do membro superior
Arm;Brachium;Bras;Brazo;Braço
Elbow;Cubitus;Coude;Codo;Cotovelo
Forearm;Antebrachium;Avant-bras;Antebrazo;Antebraço
Wrist;Carpus;Poignet;Carpo;Punho
Hand;Manus;Main;Mano;Mão
Metacarpus;Metacarpus;Métacarpe;Metacarpo;Metacarpo
Digits of hand;Digiti manus;Doigts de la main;Dedos de la mano;Dedos da mão
Thumb;Pollex;Pouce;Pulgar;Polegar
Index finger;Index;Index;Índice;Dedo indicador
Middle finger;Digitus medius manus;Majeur;Dedo medio;Dedo do meio
Ring finger;Digitus anularis;Annulaire;Anular;Dedo anelar
Little finger;Digitus minimus manus;Auriculaire;Meñique;Dedo mínimo da mão
Lower limb;Membrum inferius;Membre inférieur;Miembro inferior;Membro inferior
Buttock;Natis;Fesse;Nalga;Nádega
Hip;Coxa;Hanche;Cadera;Quadril
Free part of lower limb;Pars libera membri inferioris;Partie libre du membre inférieur;Parte libre del miembro inferior;Parte livre do membro inferior
Thigh;Femur;Cuisse;Muslo;Coxa
Knee;Genu;Genou;Rodilla;Joelho
Posterior part of knee;Poples;Partie postérieure du genou;Parte posterior de la rodilla;Parte posterior do joelho
Leg;Crus;Jambe;Pierna;Perna
Calf;Sura;Mollet;Pantorrilla;Panturrilha (barriga da perna)
Ankle;Talus;Cheville;Tarso;Tornozelo
Foot;Pes;Pied;Pie;Pé
Heel;Calx;Talon;Talón;Calcanhar
Midfoot;Pars media pedis;Mi-pied;Mediopie;Medio pé
Metatarsus;Metatarsus;Métatarse;Metatarso;Metatarso
Digits of foot;Digiti pedis;Doigts de pied;Dedos del pie;Dedos do pé
Great toe;Hallux pedis;Gros orteil;Hallux;Hálux
Second toe;Digitus secundus pedis;Deuxième orteil;Segundo dedo;Segundo dedo do pé
Third toe;Digitus tertius pedis;Troisième orteil;Tercer dedo;Terceiro dedo do pé
Fourth toe;Digitus quartus pedis;Quatrième orteil;Cuarto dedo;Quarto dedo do pé
Little toe;Digitus minimus pedis;Petit orteil;Dedo meñique;Dedo mínimo do pé
Regions of human body;Regiones corporis humani;Régions du corps humain;Regiones del cuerpo humano;Regiões do corpo humano
Regions of head;Regiones capitis;Régions de la tête;Regiones de la cabeza;Regiões da cabeça
Regions of epicranium;Regiones epicranii;Régions de l'épicrâne;Regiones del epicráneo;Regiões de epicrânio
Vertex;Vertex;Vertex;Vértice;Vértice
Frontal region;Regio frontalis;Région frontale;Región frontal;Região frontal
Eyebrow;Supercilium;Sourcil;Supercilio;Sobrancelha
Parietal region;Regio parietalis;Région pariétale;Región parietal;Região parietal
Occipital region;Regio occipitalis;Région occipitale;Región occipital;Região occipital
Temporal region;Regio temporalis;Région temporale;Región temporal;Região temporal
Mastoid region;Regio mastoidea;Région mastoïdienne;Región mastoidea;Região mastóide
Auricular region;Regio auricularis;Région auriculaire;Región auricular;Região auricular
Triangular fossa;Fossa triangularis;Fosse triangulaire;Fosa triangular;Fossa triangular
Scapha;Scapha;Scapha;Scapha;Escafa
Concha of auricle;Concha auriculae;Conque de l'auricule;Concha de la oreja;Concha de orelha
Cymba conchae;Cymba conchae;Cymba conchae;Cymba concha;Concha da orelha parte superior
Cavity of concha;Cavitas conchae;Cavité de la conque;Cavidad de la concha;Cavidade da concha
Anterior notch of auricle;Incisura anterior auriculae;Incisure antérieure de l'auricule;Incisura anterior de la oreja;Incisura anterior da orelha
Intertragic incisure;Incisura intertragica;Incisure intertragique;Incisura intertrágica;Incisura intertrágica
Auricular tubercle;Tuberculum auriculae;Tubercule de l'auricule;Tubérculo auricular;Tubérculo auricular
Apex of auricle;Apex auriculae;Apex de l'auricule;Ápice de la oreja;Ápice da orelha
Posterior auricular groove;Sulcus posterior auriculae;Sillon postérieur de l'auricule;Surco auricular posterior;Sulco auricular posterior
(Supratragic tubercle);(Tuberculum supratragicum);(Tubercule supratragique);(Tubérculo supratrágico);(Tubérculo supratrágico)
Fossa antihelica;Fossa antihelica;Fosse de l'anthélix;Fosa del antehélix;Fossa anti-hélica
Eminentia conchae;Eminentia conchae;Eminence de la conque;Eminencia de la concha;Eminência da concha
Eminentia scaphae;Eminentia scaphae;Eminence scaphoïde;Eminencia escafoides;Eminência da escafa
Eminentia fossae triangularis;Eminentia fossae triangularis;Eminence de la fosse triangulaire;Eminencia de la fosa triangular;Eminentia da fossa triangular
Regions of face;Regiones faciei;Régions de la face;Regiones de la cara;Regiões da face
Orbital region;Regio orbitalis;Région orbitale;Región orbital;Região orbital
Suprapalpebral sulcus;Sulcus suprapalpebralis;Sillon suprapalpébral;Surco suprapalpebral;Sulco suprapalpebral
Palpebral fissure;Rima palpebrarum;Fente palpébrale;Fisura palpebral;Fissura palpebral
Lateral palpebral commissure;Commissura lateralis palpebrarum;Commissure latérale des paupières;Comisura palpebral lateral;Comissura palpebral lateral
Medial palpebral commissure;Commissura medialis palpebrarum;Commissure médiale des paupières;Comisura palpebral medial;Comissura palpebral medial
Lateral angle of eye;Angulus lateralis oculi;Angle latéral de l'oeil;Ángulo lateral del ojo;Ângulo lateral do olho
Medial angle of eye;Angulus medialis oculi;Anglé médial de l'oeil;Ángulo medial del ojo;Ângulo medial do olho
Infrapalpebral sulcus;Sulcus infrapalpebralis;Sillon infrapalpébral;Surco infrapalpebral;Sulco infrapalpebral
Palpebronasal fold;Plica palpebronasalis;Pli palpébronasal;Pliegue palpebronasal;Prega palpebronasal
Infra-orbital region;Regio infraorbitalis;Région infra-orbitaire;Región infraorbitaria;Região infra-orbital
Buccal region;Regio buccalis;Région buccale;Región bucal;Região bucal
Parotideomasseteric region;Regio parotideomasseterica;Région parotidomassétérique;Región parotidomasseterica;Região parotideomasseterica
Zygomatic region;Regio zygomatica;Région zygomatique;Región cigomática;Região zigomática
Nasal region;Regio nasalis;Région nasale;Región nasal;Região nasal
Root of nose;Radix nasi;Racine du nez;Raíz de la nariz;Raiz do nariz
Dorsum of nose;Dorsum nasi;Dos du nez;Parte posterior de la nariz;Dorso do nariz
Apex of nose;Apex nasi;Bout du nez;Punta de la nariz;Ápice do nariz
Nasolabial sulcus;Sulcus nasolabialis;Sillon nasolabial;Surco nasolabial;Sulco nasolabial
Oral region;Regio oralis;Région orale;Región oral;Região oral
Philtrum;Philtrum;Philtrum;Philtrum;Filtro
Tubercle of upper lip;Tuberculum labii superioris;Tubercule de la lèvre supérieure;Tubérculo del labio superior;Tubérculo do lábio superior
Labial commissure;Commissura labiorum oris;Commissure labiale;Comisura labial de la boca;Comissura labial
Angle of mouth;Angulus oris;Angle de la bouche;Ángulo de la boca;Ângulo da boca
Mentolabial sulcus;Sulcus mentolabialis;Sillon mentolabial;Surco mentonlabial;Sulco mentolabial
Mental region;Regio mentalis;Région mentonnière;Región de la barbilla;Região mental
Regions of neck;Regiones colli;Régions du cou;Regiones del cuello;Regiões do pescoço
Anterior region of neck;Regio anterior colli;Région antérieure du cou;Región anterior del cuello;Região anterior do pescoço
Anterior triangle of neck;Trigonum anterius colli;Trigone cervical antérieur;Trígono cervical anterior;Triângulo anterior do pescoço
Suprahyoid region;Regio suprahyoidea;Région suprahyoïdienne;Región suprahioidea;Região supra-hióidea
Submandibular triangle;Trigonum submandibulare;Trigone submandibulaire;Trígono submandibular;Triângulo submandibular
Submental triangle;Trigonum submentale;Trigone submentonnier;Trígono submental;Triângulo submentoniano
Infrahyoid region;Regio infrahyoidea;Région infrahyoïdienne;Región infrahioidea;Região infra-hióidea
Carotid triangle;Trigonum caroticum;Tigone carotidien;Tigone carotídeo;Triângulo carotídeo
Muscular triangle;Trigonum musculare;Tigone musculaire;Tígono muscular;Triângulo muscular
Sternocleidomastoid region;Regio sternocleidomastoidea;Région sternocléïdomastoïdienne;Región esternocleidomastoidea;Região do esternocleidomastóideo
Lesser supraclavicular fossa;Fossa supraclavicularis minor;Petite fosse supraclaviculaire;Fosa supraclavicular menor;Fossa supraclavicular menor
Lateral region of neck;Regio lateralis colli;Région latérale du cou;Región lateral del cuello;Região lateral do pescoço
Greater supraclavicular fossa;Fossa supraclavicularis major;Grande fosse supraclaviculaire;Fosa supraclavicular mayor;Maior fossa supraclavicular
Omoclavicular triangle;Trigonum omoclaviculare;Triangle omo-claviculaire;Triángulo omoclavicular;Triângulo omoclavicular
Occipital triangle;Trigonum occipitale;Triangle occipital;Triángulo occipital;Triângulo occipital
Posterior region of neck;Regio posterior colli;Région postérieure du cou;Región posterior del cuello;Região posterior do pescoço
Regions of thorax;Regiones thoracis;Régions du thorax;Regiones del tórax;Regiões do tórax
Anterior region of thorax;Regio anterior thoracis;Région antérieure du thorax;Región anterior del tórax;Região anterior do tórax
Precordium;Precordium;Précordium;Precordio;Precórdio
Presternal region;Regio presternalis;Région présternale;Región preesternal;Região pré-esternal
Infraclavicular fossa;Fossa infraclavicularis;Fosse infraclaviculaire;Fosa infraclavicular;Fossa infraclavicular
Deltopectoral triangle;Trigonum deltopectorale;Triangle deltopectoral;Triángulo deltopectoral;Triângulo deltopeitoral
Deltopectoral groove;Sulcus deltopectoralis;Sillon deltopectoral;Surco deltopectoral;Sulco deltopeitoral
Pectoral region;Regio pectoralis;Région pectorale;Región pectoral;Região peitoral
Mammary region;Regio mammaria;Région mammaire;Región mamaria;Região mamária
Inframammary region;Regio inframammaria;Région inframammaire;Región inframamaria;Região inframamária
Lateral region of thorax;Regio lateralis thoracis;Région latérale du thorax;Región lateral del tórax;Região lateral do tórax
Regions of abdomen;Regiones abdominis;Régions abdominales;Regiones abdominales;Regiões do abdômen
Hypochondriac region;Regio hypochondriaca;Région hypochondriaque;Region hipocondriaca;Região hipocondríaca
Epigastric region;Regio epigastrica;Région épigastrique;Región epigástrica;Região epigástrica
Epigastric fossa;Fossa epigastrica;Fosse épigastrique;Fosa epigástrica;Fossa epigástrica
Lateral region of abdomen;Regio lateralis abdominis;Région latérale de l'abdomen;Región lateral del abdomen;Região lateral do abdômen
Umbilical region;Regio umbilicalis;Région ombilicale;Región umbilical;Região umbilical
Umbilicus;Umbilicus;Nombril;Ombligo;Umbigo
Inguinal region;Regio inguinalis;Région inguinale;Región inguinal;Região inguinal
Hypogastric region;Regio hypogastrica;Région hypogastrique;Región hipogástrica;Região hipogástrica
Regions of back;Regiones dorsi;Régions du dos;Regiones traseras;Regiões do dorso
Vertebral region;Regio vertebralis;Région vertébrale;Región vertebral;Região vertebral
Scapular region;Regio scapularis;Région scapulaire;Región escapular;Região escapular
Triangle of auscultation;Trigonum auscultationis;Triangle d'auscultation;Triángulo de auscultación;Triângulo da ausculta
Infrascapular region;Regio infrascapularis;Région infrascapulaire;Región infraescapular;Região infraescapular
Lumbar region;Regio lumbalis;Région lombaire;Región lumbar;Região lombar
Lumbar triangle;Trigonum lumbale;Triangle lombaire;Triangulo lumbar;Triângulo lombar
Superior lumbar triangle;Trigonum lumbale superius;Triangle lombaire sypérieur;Triangulo lumbar superior;Triângulo lombar superior
Sacral region;Regio sacralis;Région sacrale;Región sacra;Região sacral
Sacro-iliac dimple;Foveola sacroiliaca;Fossette sacro-iliaque;Hoyuelo sacroilíaco;Cova sacroilíaca
Coccygeal region;Regio coccygea;Région coccygienne;Región coccígea;Região coccígea
(Coccygeal foveola);(Foveola coccygea);(Foveola coccygea);(Foveola coccygea);(Fovéola coccígea)
Regions of perineum;Regiones perinei;Régions du périnée;Regiones del perineo;Regiões do períneo
Anal region;Regio analis;Région anale;Región anal;Região anal
Anal triangle;Trigonum anale;Triangle anal;Triángulo anal;Triângulo anal
Urogenital region;Regio urogenitalis;Région urogénitale;Región urogenital;Região urogenital
Regions of upper limb;Regiones membri superioris;Régions du membre supérieur;Regiones del miembro superior;Regiões do membro superior
Axillary region;Regio axillaris;Région axillaire;Región axilar;Região axilar
Axillary fossa;Fossa axillaris;Fosse axillaire;Fosa axilar;Fossa axilar
Deltoid region;Regio deltoidea;Région deltoïdienne;Región deltoidea;Região deltóide
Brachial region;Regio brachialis;Région brachiale;Región braquial;Região braquial
Anterior region of arm;Regio anterior brachii;Région antérieure du bras;Región anterior del brazo;Região anterior do braço
Lateral bicipital groove;Sulcus bicipitalis lateralis;Sillon bicipital latéral;Surco bicipital lateral;Sulco bicipital lateral
Medial bicipital groove;Sulcus bicipitalis medialis;Sillon bicipital médial;Surco bicipital medial;Sulco bicipital medial
Posterior region of arm;Regio posterior brachii;Région postérieure du bras;Región posterior del brazo;Região posterior do braço
Cubital region;Regio cubitalis;Région cubitale;Región cubital;Região cubital
Anterior region of elbow;Regio anterior cubiti;Région antérieure du coude;Región anterior del codo;Região anterior do cotovelo
Cubital fossa;Fossa cubitalis;Pli du coude;Pliegue del codo;Fossa cubital
Posterior region of elbow;Regio posterior cubiti;Région postérieure du coude;Región posterior del codo;Região posterior do cotovelo
Antebrachial region;Regio antebrachialis;Région antébrachiale;Región antebraquial;Região antebraquial
Anterior region of forearm;Regio anterior antebrachii;Région antérieure de l'avant-bras;Región anterior del antebrazo;Região anterior do antebraço
Posterior region of forearm;Regio posterior antebrachii;Région postérieure de l'avant-bras;Región posterior del antebrazo;Região posterior do antebraço
Lateral border of forearm;Margo lateralis antebrachii;Bord latéral de l'avant-bras;Borde lateral del antebrazo;Borda lateral do antebraço
Medial border of forearm;Margo medialis antebrachii;Bord médial de l'avant-bras;Borde medial del antebrazo;Borda medial do antebraço
Carpal region;Regio carpea;Région carpienne;Región carpiana;Região do carpo
Anterior region of wrist;Regio anterior carpi;Région antérieure du poignet;Región anterior de la muñeca;Região anterior do punho
Posterior region of wrist;Regio posterior carpi;Région postérieure du poignet;Región posterior de la muñeca;Região posterior do punho
Radial foveola;Foveola radialis;Tabattière anatomique;Tabaquera anatómica;Fovéola radial
Regions of hand;Regiones manus;Régions de la main;Regiones de la mano;Regiões de mão
Metacarpal region;Regio metacarpea;Région métacarpienne;Región metacarpiana;Região metacarpal
Dorsum of hand;Dorsum manus;Dos de la main;Detrás de la mano;Dorso da mão
Palm;Palma;Paume;Palma;Palma
Thenar eminence;Eminentia thenaris;Éminence thénar;Eminencia tenar;Eminência tenar
Hypothenar eminence;Eminentia hypothenaris;Éminence hypothénar;Eminencia hipotenar;Eminência hipotenar
Regions of digits of hand;Regiones digitorum manus;Régions des doigts de la main;Regiones de los dedos de la mano;Regiões de dígitos da mão
Palmar surfaces of digits of hand;Facies palmares digitorum manus;Surfaces palmaires des doigts de la main;Superficies palmares de los dedos de la mano;Superfícies palmares dos dígitos da mão
Dorsal surfaces of digits of hand;Facies dorsales digitorum manus;Surfaces dorsales des doigts de la main;Superficies dorsales de los dedos de la mano;Superfícies dorsais dos dedos da mão
Interdigital spaces of hand;Spatia interdigitalia manus;Espaces interdigitaux de la main;Espacios interdigitales de la mano;Espaços interdigitais da mão
Regions of lower limb;Regiones membri inferioris;Régions du membre inférieur;Regiones del miembro inferior;Regiões do membro inferior
Gluteal region;Regio glutea;Région glutéale;Región glútea;Região glútea
Intergluteal cleft;Crena interglutea;Sillon interfessier;Surco interglúteo;Fenda interglútea
Gluteal fold;Sulcus gluteus;Pli fessier;Pliegue glúteo;Dobra glútea
Hip region;Regio coxalis;Région de la hanche;Región de la cadera;Região do quadril
Femoral region;Regio femoralis;Région fémorale;Región femoral;Região femoral
Anterior region of thigh;Regio anterior femoris;Région antérieure de la cuisse;Región anterior del muslo;Região anterior da coxa
Femoral triangle;Trigonum femorale;Triangle fémoral;Triángulo femoral;Triângulo femoral
Posterior region of thigh;Regio posterior femoris;Région postérieure de la cuisse;Región posterior del muslo;Região posterior da coxa
Knee region;Regio genualis;Région du genou;Region de la rodilla;Região do joelho
Anterior region of knee;Regio anterior genus;Région antérieure du genou;Región anterior de la rodilla;Região anterior do joelho
Posterior region of knee;Regio posterior genus;Région postérieure du genou;Región posterior de la rodilla;Região posterior do joelho
Popliteal fossa;Fossa poplitea;Fosse poplitée;Fosa poplítea;Fossa poplítea
Leg region;Regio cruralis;Région de la jambe;Área de la pierna;Região da perna
Anterior region of leg;Regio anterior cruris;Région antérieure de la jambe;Región anterior de la pierna;Região anterior da perna
Posterior region of leg;Regio posterior cruris;Région postérieure de la jambe;Región posterior de la pierna;Região posterior da perna
Sural region;Regio suralis;Région surale;Región sural;Região sural
Talocrural region;Regio talocruralis;Région talocrurale;Región talocrural;Região talocrural
Anterior region of ankle;Regio anterior tali;Région antérieure de la cheville;Región anterior del tobillo;Região anterior do tornozelo
Posterior region of ankle;Regio posterior tali;Région postérieure de la cheville;Región posterior del tobillo;Região posterior do tornozelo
Lateral retromalleolar region;Regio retromalleolaris lateralis regio;Région rétromalléolaire latérale;Región retromalleolar lateral;Região retromaleolar lateral
Medial retromalleolar region;Regio retromalleolaris medialis regio;Région rétromalléolaire médiale;Región retromaleolar medial;Região retromaleolar medial
Regions of foot;Regiones pedis;Régions du pied;Regiones del pie;Regiões do pé
Heel region;Regio calcanea;Région calcanéenne;Área del talón;Região do calcanhar
Dorsum of foot;Dorsum pedis;Dos du pied;Parte posterior del pie;Dorso do pé
Sole;Planta;Plante du pied;Planta;Sola
Longitudinal arch of foot;Arcus longitudinalis pedis;Arche longitudinale du pied;Arco longitudinal del pie;Arco longitudinal do pé
Lateral part of longitudinal arch of foot;Pars lateralis arcus longitudinalis pedis;Partie latérale de l'arche longitudinale du pied;Parte lateral del arco longitudinal del pie;Parte lateral do arco longitudinal do pé
Medial part of longitudinal arch of foot;Pars medialis arcus longitudinalis pedis;Partie médiale de l'arche longitudinale du pied;Parte medial del arco longitudinal del pie;Parte medial da longitudinal
#¡REF!
Proximal transverse arch of foot;Arcus transversus proximalis;Arche transverse proximale du pied;Arco transverso proximal del pie;Arco transversal proximal do pé
Distal transverse arch of foot;Arcus transversus distalis pedis;Arche transverse distale du pied;Arco transverso distal del pie;Arco transversal distal do pé
Lateral border of foot;Margo lateralis pedis;Bord latéral du pied;Margen lateral del pie;Borda lateral do pé
Medial border of foot;Margo medialis pedis;Bord médial du pied;Margen medial del pie;Borda medial do pé
Metatarsal region;Regio metatarsea;Région métatarsienne;Region metatarsiana;Região metatarso
Hallucial eminence;Eminentia hallucis;Eminence du gros orteil;Eminencia del hallux;Eminência do hálux
Regions of digits of foot;Regiones digitorum pedis;Régions des doigts de pied;Regiones de los dedos del pie;Regiões de dígitos do pé
