Veins-1,Veins-2,Veins-3,Veins-4,Veins-5,Veins-6,Veins-7,Veins-8,Veins-9,Veins-10
Cephalic vein.r,Inferior labial veins.r,,Inferior epigastric vein.l,Genicular veins.r,,,,,
Cephalic vein.l,Superior labial vein.r,,Iliolumbar vein.r,Genicular veins.l,,,,,
Basilic vein.r,Facial vein.r,,Iliolumbar vein.l,Lateral circumflex femoral veins.r,,,,,
Basilic vein.l,Superior ophtalmic vein.r,,Lumbar veins.l,Medial circumflex femoral veins.r,,,,,
Ulnar veins.r,Inferior ophthalmic vein.r,,Lumbar veins.r,Lateral circumflex femoral veins.l,,,,,
Ulnar veins.l,Superior thyroid vein.r,,,Medial circumflex femoral veins.l,,,,,
Brachial veins.r,Occipital vein.r,,,Superior mesenteric vein,,,,,
Brachial veins.l,Superficial temporal veins.r,,,Middle colic vein,,,,,
Axillary vein.r,Posterior auricular vein.r,,,Right colic vein,,,,,
Axillary vein.l,Maxillary veins.r,,,Right gastro-omental vein,,,,,
Left subclavian vein,Lingual vein.r,,,Left gastro-omental vein,,,,,
Right subclavian vein,Posterior division of retromandibular vein.l,,,Sigmoid veins,,,,,
Internal iliac vein.r,Angular vein.l,,,Splenic vein,,,,,
Internal iliac vein.l,Submental vein.l,,,Inferior mesenteric vein,,,,,
External iliac vein.r,Inferior labial veins.l,,,Perforating veins.l,,,,,
External iliac vein.l,Superior labial vein.l,,,,,,,,
Common iliac vein.l,Facial vein.l,,,,,,,,
Common iliac vein.r,Inferior ophthalmic vein.l,,,,,,,,
Inferior vena cava (thoracic part),Superior thyroid vein.l,,,,,,,,
Inferior vena cava (abdominal part),Occipital vein.l,,,,,,,,
Anterior tibial veins.r,Superficial temporal veins.l,,,,,,,,
Anterior tibial veins.l,Posterior auricular vein.l,,,,,,,,
Lateral plantar veins.r,Maxillary veins.l,,,,,,,,
Lateral plantar veins.l,Lingual vein.l,,,,,,,,
Posterior tibial veins.r,Common facial vein.r,,,,,,,,
Medial plantar veins.r,Common facial vein.l,,,,,,,,
Posterior tibial veins.l,Straight sinus,,,,,,,,
Medial plantar veins.l,Occipital sinus,,,,,,,,
Popliteal vein.r,Anterior jugular vein.l,,,,,,,,
Popliteal vein.l,Anterior jugular vein.r,,,,,,,,
Femoral vein.r,Suprascapular vein.r,,,,,,,,
Femoral vein.l,Suprascapular vein.l,,,,,,,,
Inferior petrosal sinus.r,,,,,,,,,
Inferior petrosal sinus.l,,,,,,,,,
Radial veins.l,,,,,,,,,
Radial veins.r,,,,,,,,,
